[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Guantes%20amarillos.jpeg → 200 (25ms, 94125B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Jumbo%20200.jpg → 200 (26ms, 26057B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Toalla%20Intercalada%2020x23.jpg → 200 (28ms, 4271B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Servilleta%20de%20Bocadillo.jpg → 200 (28ms, 22788B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Rollo%20Cocina%20200%20Hojas.webp → 200 (29ms, 11721B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Servilleta%20de%20Mesa%2030x29%2C5.webp → 200 (31ms, 41731B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/servilletaa.jpg → 200 (31ms, 6970B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Pepel%20Higenico%20Doble%20Hoja.jpg → 200 (39ms, 13745B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Papel%20Higenico%20Jumbo%20500.png → 200 (39ms, 473639B)
[2026-07-01T00:01:10.269Z] GET https://www.gstatic.com/firebasejs/9.23.0/firebase-app-compat.js → 200 (194ms, 9862B)
[2026-07-01T00:01:10.269Z] GET https://www.gstatic.com/firebasejs/9.23.0/firebase-firestore-compat.js → pending (?ms, ?B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/firebase-init.js → 200 (92ms, 725B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/script.js → 200 (194ms, 21253B)
[2026-07-01T00:01:55.283Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/index.html → 200 (?ms, 33090B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/styles.css → 200 (1ms, 41202B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Logo.JPG → 200 (2ms, 13773B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Multiuso.JPG → 200 (3ms, 38878B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Limpiavidrios.JPG → 200 (3ms, 22909B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Lavandina.JPG → 200 (3ms, 39733B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Limpiador%20liquidp.jpg → 200 (3ms, 78937B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Cremoso.JPG → 200 (3ms, 22530B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Alcoholengel.JPG → 200 (3ms, 21906B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Desodorante.JPG → 200 (4ms, 29502B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Jabon_para_manos-removebg-preview.png → 200 (5ms, 101931B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Jabon%20Liquido.JPG → 200 (6ms, 38726B)
[2026-07-01T00:01:55.292Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/suavizante.jpg → 200 (7ms, 92901B)
